"time","MCF-LW12CO2.mean_humidity","MCF-LW12CO2.mean_temperature"
"2021-11-23T13:32:00.000+01:00","23.5","21.78"
"2021-11-23T14:00:00.000+01:00","23.5","21.76"
"2021-11-23T14:28:00.000+01:00","23","21.74"
"2021-11-23T14:56:00.000+01:00","23.5","21.73"
"2021-11-23T15:24:00.000+01:00","23.5","21.76"
"2021-11-23T15:52:00.000+01:00",,
"2021-11-23T16:20:00.000+01:00","23.5","21.72"
"2021-11-23T16:48:00.000+01:00","23.5","21.75"
"2021-11-23T17:16:00.000+01:00","23.5","21.8"
"2021-11-23T17:44:00.000+01:00","23.5","21.77"
"2021-11-23T18:12:00.000+01:00","23.5","21.72"
"2021-11-23T18:40:00.000+01:00","23.5","21.71"
"2021-11-23T19:08:00.000+01:00","23.5","21.7"
"2021-11-23T19:36:00.000+01:00","23.5","21.67"
"2021-11-23T20:04:00.000+01:00","24","21.61"
"2021-11-23T20:32:00.000+01:00","24","21.55"
"2021-11-23T21:00:00.000+01:00","24","21.51"
"2021-11-23T21:28:00.000+01:00","24.5","21.47"
"2021-11-23T21:56:00.000+01:00",,
"2021-11-23T22:24:00.000+01:00","25","21.42"
"2021-11-23T22:52:00.000+01:00","25","21.4"
"2021-11-23T23:20:00.000+01:00","25.5","21.4"
"2021-11-23T23:48:00.000+01:00","25.5","21.39"
"2021-11-24T00:16:00.000+01:00","26","21.41"
"2021-11-24T00:44:00.000+01:00","26","21.44"
"2021-11-24T01:12:00.000+01:00","26.5","21.47"
"2021-11-24T01:40:00.000+01:00","26.5","21.51"
"2021-11-24T02:08:00.000+01:00","26.5","21.55"
"2021-11-24T02:36:00.000+01:00","26.5","21.57"
"2021-11-24T03:04:00.000+01:00","26.5","21.59"
"2021-11-24T03:32:00.000+01:00",,
"2021-11-24T04:00:00.000+01:00","27","21.64"
"2021-11-24T04:28:00.000+01:00","27","21.7"
"2021-11-24T04:56:00.000+01:00","27","21.72"
"2021-11-24T05:24:00.000+01:00","27","21.78"
"2021-11-24T05:52:00.000+01:00","27","21.83"
"2021-11-24T06:20:00.000+01:00","27","21.87"
"2021-11-24T06:48:00.000+01:00","27","21.91"
"2021-11-24T07:16:00.000+01:00","27.5","21.9"
"2021-11-24T07:44:00.000+01:00","28","21.83"
"2021-11-24T08:12:00.000+01:00","28.5","21.72"
